dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
71,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Because there's no post on Sunday?,34
72,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",160
73,Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,Human,AHH! Make it stop! Please make it stop!,39
74,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,"Go away, ahh!",13
75,Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,Human,What is it? Please tell me what's happening!,44
76,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Give me that! Give me that letter!,34
77,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Get off! Ahh!,13
78,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Ahh!,4
79,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,They're my letters! Let go of me!,33
80,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,That's it! We're going away! Far away! Where they can't find us!,64
81,Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,Human,"Daddy's gone mad, hasn't he?!",29
82,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Make a wish, Harry.",19
83,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Who's there? Ahh!,17
84,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,Sorry 'bout that.,17
85,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,"I demand that you leave at once, sir! You are breaking and entering!",68
86,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",175
87,Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,Human,I-I-I'm not Harry.,18
88,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,I-I am.,7
